plot,plot_distance,Lichen_Moss,Shrub,Forbe,Grass_Rush,Tree
1,1.98,3,1,2,1,0
2,3.63,4,1,3,1,0
3,2.13,2,2,4,2,0
4,2.61,3,1,4,1,0
5,2.91,3,2,5,1,0
6,0.91,1,2,4,1,0
7,3.82,4,2,4,2,0
8,0.56,3,2,5,1,0
9,4.44,4,0,2,2,0
10,1.02,2,1,3,0,0
11,17.11,1,3,2,2,0
12,7.48,3,2,4,0,0
13,11.45,2,1,3,2,0
14,11.11,4,2,4,1,0
15,17.32,3,2,2,1,0
16,9.91,2,2,2,1,0
17,10.21,1,1,3,1,0
18,8.75,3,1,4,1,0
19,22.6,1,2,5,1,0
20,8.7,3,1,3,1,0
21,25.48,2,2,1,0,1
22,26,2,2,0,0,0
23,28.93,4,4,3,0,1
24,31.34,0,1,2,0,1
25,32.71,2,2,1,0,1
26,34.53,3,2,1,0,1
27,22.58,4,2,1,0,1
28,27.56,3,3,1,1,1
29,22.6,4,3,3,0,1
30,30.55,2,2,0,0,1
