plot_id,plot_distance,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10,species11,species12,species13,species14,species15,species16,species17,species18,species19,species20,species21,species22,species23,species24,species25,species26,species27,species28,species29,species30
1,1.98,0,0,0,0,0,0.4,0,0,10,0,12.6,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,6,0,13.4,0
2,3.63,0,0,0,0,0,0.2,0.1,0,0,0,10.2,0,1.3,0,0,0,0,0,0,0.2,4.5,0,0,0.4,0,0,6.7,0,10.4,0
3,2.13,0,2,0,0,0,0,0.1,10.5,9.9,0,12.1,0,1.9,0,0,0,0,0,0,0.3,0,0,0,0,0,0,6.4,0,7.6,0
4,2.61,0,0,0.2,0,0,0.2,0.1,0,2.5,0,10.5,0,0.9,0,0,0,0,0,0,0.1,4.4,0,0,0,0,0,4.9,0,0,0
5,2.91,0,0.8,0,0,0,3,0.1,0,10,0,14.9,0,3,0,0.9,0,0,0,0,0.2,0,0,0,0,0,0,5.7,0,5,0
6,0.91,0,0.5,0,4.2,0,0,0,0,1,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,3.2,0,0,9.6,0
7,3.82,0,1.2,0,0,0,0.3,0.1,0,0,17,13.4,0,1.6,0,1.5,0,0,0,0,0.5,0,0,0,0,0,0,6.3,0,4.6,0
8,0.56,0,0.5,0,2.9,0,0.1,0.1,0,9.7,0,0,0,1.4,7.8,0,0,0,0,0,0.1,0,0,0,0,0,0,9.4,0,10.2,1.2
9,4.44,0,0,0,0,0,0.1,0.1,0,7.9,13.6,15.2,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0
10,1.02,0,0,0,0,0,0.2,0.1,0,3.6,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,8.9,0
11,17.11,0,3.8,0,0,0,0,0,0,0,40.8,21.2,0,0,0,0.3,0,0,0,0,0.1,0,0,0,0,0,1.5,6.3,0,0,0
12,7.48,0,5,0,0,0,0.1,0.1,0,9.9,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,6.3,0,14.6,0
13,11.45,0,0,0,0,0,0,0,0,0,10.9,10.8,0,0,0,1.2,0,0,0,0,2,0,3.9,0,0,0,0,6.9,0,7.1,0
14,11.11,0,1,0,0,0,0.1,0.1,0,9.3,0,12.5,0,0,0,0,0,0,0,0.3,0.1,3.1,0,0,0,0,0,5,0,3.6,0
15,17.32,0,1.8,0,0,0.1,0.2,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,5.2,0,0,8.4,0
16,9.91,0,1.6,0,0,0,0.1,0,0,0,0,9.3,0,0,0,2,0,0,0,0,0.1,0,0,0,0,0,0,8.5,0,0,0
17,10.21,0,7.2,0,0,0,0,0,0,0,0,13.3,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.2,0
18,8.75,0,0,0,0,0,0.1,0.1,0,6.8,0,10.2,0,1.2,0,0,0,0,0,0,0.1,0,3.1,0,0,0,0,5.8,0,4.5,0
19,22.6,0,2.3,0,0,0,0,0,0,8.4,0,12.5,0,0,0,12.5,0,0,0,0,0.2,0,6.9,0,0,0,3.2,0,0,3.3,0
20,8.7,0,0,0,0,0,0.1,0.1,0,0,0,9.4,0,1,0,0.3,0,0,0,0,0.1,0,0,0,0,0,0,7.5,0,8.1,0
21,25.48,60.9,0,0,0,0,1.2,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,11,15.8,0,0,0.1
22,26,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,11.5,7.5,0,0,0
23,28.93,2,1.8,15.8,0,0,2,0,0,0,0,0,11.8,0,3.7,0,0,0,0,0,0.4,0,0,0,0,0.2,10.5,10.4,0,0,0
24,31.34,102.5,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,4.3,2.45,0,0
25,32.71,1,0,0,0,0,1.6,0,0,0,0,0,17.5,2,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0.1
26,34.53,1.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,9.2,0,0,0,0,0,0.1,0,0,0,0,0,6.9,7.1,0,0,0
27,22.58,14.46,0,0,0,0,0.8,0,0,0,0,0,0,0,9.18,0,0,0,0,0.1,0.1,0,0,0,0,0,12,13.38,0,0,0.1
28,27.56,2,1,0,3.9,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,4.9,0.2,0,0,0
29,22.6,7.4,1.3,0,0,0,0.5,0,0,0,0,0,0,0,7.3,0,0,0,0,0.5,0.4,0,8.5,0,0,0,6,6.7,0,0,0.1
30,30.55,56.45,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15.8,0,0,0
