plot_id,plot_aspect,plot_slope,plot_distance,plot_canopy_cover,plot_disturbance,species1,species2,species3,species4,species5,species6,species7,species8,species9,species10,species11,species12,species13,species14,species15,species16,species17,species18,species19,species20,species21,species22,species23,species24,species25,species26,species27,species28,species29,species30
1,40,10,1.98,0,0,0,0,0,0,0,1.3,1.3,0,1.9,0,53.9,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,22.7,0,5.2,0
2,44,2,3.63,0,0,0,0,0,0,0,2.2,2.2,0,0,0,24.9,0,5.4,0,0,0,0,0,0,8.1,14.1,0,0,1.1,0,0,24.9,0,17.3,0
3,34,15,2.13,0,0,0,1.5,0,0,0,0,12.4,3.6,5.7,0,21.6,0,6.2,0,0,0,0,0,0,9.8,0,0,0,0,0,0,24.7,0,14.4,0
4,29,3,2.61,0,0,0,0,1,0,0,3.8,2.9,0,12.4,0,23.4,0,8.1,0,0,0,0,0,0,26.8,3.3,0,0,0,0,0,18.2,0,0,0
5,50,10,2.91,0,0,0,5.4,0,0,0,2.7,4.9,0,0.8,0,14.1,0,1.1,0,28.2,0,0,0,0,23.3,0,0,0,0,0,0,14.1,0,5.4,0
6,38,18,0.91,0,1,0,22.4,0,3.4,0,0,0,0,12.1,0,0,0,13.8,0,0,0,0,0,0,13.8,0,0,0,0,0,24.1,0,0,10.3,0
7,49,0,3.82,0,0,0,4.7,0,0,0,3.1,1.3,0,0,2.6,31,0,10,0,5.2,0,0,0,0,15.7,0,0,0,0,0,0,17.3,0,8.9,0
8,40,4,0.56,0,0,0,2.2,0,1.5,0,1.5,3.7,0,1.5,0,0,0,25,2.2,0,0,0,0,0,5.1,0,0,0,0,0,0,51.5,0,5.9,1.5
9,145,0,4.44,0,0,0,0,0,0,0,0.8,1.2,0,8.9,13.2,7,0,0,0,6.6,0,0,0,0,60.3,0,0,1.9,0,0,0,0,0,0,0
10,84,12,1.02,0,0,0,0,0,0,0,2.6,1.3,0,5.2,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,76.1,0
11,34,6,17.11,0,0,0,23.1,0,0,0,0,0,0,0,2.2,37.4,0,0,0,5.5,0,0,0,0,12.1,0,0,0,0,0,2.2,17.6,0,0,0
12,36,9,7.48,0,0,0,1.1,0,0,0,1.1,1.1,0,9.6,0,0,0,2.8,0,0,0,0,0,0,23,0,0,0,0,0,0,29.2,0,32,0
13,0,0,11.45,0,0,0,0,0,0,0,0,6.7,0,0,6.7,40,0,0,0,13.3,0,0,0,0,10,0,3.3,0,0,0,0,8.3,0,11.7,0
14,50,1,11.11,0,1,0,39.8,0,0,0,1.9,2.9,0,4.9,0,9.7,0,0,0,0,0,0,0,5.8,14.6,4.9,0,0,0,0,0,13.6,0,1.9,0
15,350,4,17.32,0,0,0,8.5,0,0,4.3,7.4,0,0,0,0,23.4,0,0,0,0,0,0,0,0,29.8,0,0,0,0,0,22.3,0,0,4.3,0
16,60,8,9.91,0,1,0,3,0,0,0,3,0,0,0,0,48.5,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,39.4,0,0,0
17,40,2,10.21,0,0,0,10.2,0,0,0,0,0,0,0,0,44.9,0,18.1,0,0,0,0,0,0,21.3,0,0,0,0,0,0,0,0,5.5,0
18,221,1,8.75,0,0,0,0,0,0,0,2.4,2.4,0,4.9,0,20.7,0,9.8,0,0,0,0,0,0,12.2,0,2.4,0,0,0,0,34.1,0,11,0
19,25,5,22.6,0,0,0,12.3,0,0,0,0,0,0,5.7,0,16,0,0,0,10.4,0,0,0,0,40.6,0,5.7,0,0,0,6.6,0,0,2.8,0
20,55,7,8.7,0,0,0,0,0,0,0,4.1,2.1,0,0,0,27.8,0,24.7,0,4.1,0,0,0,0,18.6,0,0,0,0,0,0,15.5,0,3.1,0
21,296,5,25.48,0,0,18.6,0,0,0,0,3.1,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0,0,0,0,52.1,11.4,0,0,0
22,268,4,26,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,87.5,5.7,0,0,2.5
23,299,5,28.93,0,0,0.8,28.5,0.8,0,0,12.6,0,0,0,0,0,2.5,0,4.6,0,0,0,0,0,11.7,0,0,0.8,0,0.8,33.9,2.9,0,0,0
24,291,1,31.34,71.13,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0,0,0,1.5,70.8,0,0
25,215,10,32.71,0,0,1,0,0,0,0,11.5,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,39.4,0,0,0,2.5
26,282,1,34.53,0,0,3.9,0,0,0,0,9.8,3.9,0,0,0,0,0,0,7.8,0,0,0,0,0,3.9,0,0,0,0,0,52.9,17.6,0,0,0
27,323,20,22.58,0,0,27,0,0,0,0,0.8,0,0,0,0,0,0,0,8.6,0,0,0,0,6.5,0,0,0,0.4,0,0,43,13.7,0,0,25.5
28,274,11,27.56,0,0,3.8,26.9,0,7.7,0,9.6,3.8,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,40.4,3.8,0,0,0
29,340,20,22.6,0,0,22.2,12.4,0,0,0,14.6,0,0,0,0,0,0,0,10.8,0,0,0,0,4.3,2.2,0,3.2,0,0,0,8.1,22.2,0,0,2.5
30,304,6,30.55,4.5,0,16.3,0,0,0,6.7,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,34.6,0,0,0
